,,FRONT,,,REAR,,,,,
10/04 ON,ASTRA AH MY05 MY06 HATCH,KHFL-74,,,KHRL-128SP,,,,,
10/04 ON,ASTRA AH MY05 MY06 COUPE,KHFL-73,,,KHRL-128,,,,,
10/04 ON,ASTRA AH MY05 MY06 WAGON,KHFL-74,,,KHRS-128,,,,,
86-12/88,BARINA ML,KSFL-12,KSFS-12,,KSRL-11,KFRS-96,,,,
1/89-3/94,BARINA MF MH,KSFL-10,KSFS-10,,KSRL-13,KSRS-13,,,,
4/94-12/00,BARINA SB,KHFL-66,KHFS-66,,KHRL-126,KHRL-63,,,,
01-11/05,BARINA XC,KHFL-62,,,KHRL-63,,,,,
12/05-9/11,BARINA TK KL,KDFL-109,,,KHRL-148,KHRS-148,,,,
10/11 ON,BARINA TM,KHFL-162,,,KHRL-163,,,,,
06-2010,CAPTIVA SER 1,KHFL-160,,KHFR-160,KHRL-161,,KHRR-161,,,
82-89,CAMIRA JB JD JE SEDAN,,KHFS-19,,,KHRS-27,,,,
82-89,CAMIRA JB JD JE WAGON,,KHFS-19,,,KHRS-28,,,,
08-2011,COLORADO RC 2WD,KHFL-51,,KHFR-51,,,,,,
78-86,COMMODORE VB-VK 6CYL SEDAN,KHFL-22,KHFS-22,KHFS-19,KHRL-23,KHRS-23,KHRR-23,,,
78-86,COMMODORE VB-VK V8 SEDAN,KHFL-19,KHFS-19,KHFR-19,KHRL-23,KHRS-23,KHRR-23,,,
86-93,COMMODORE VL-VP 6CYL SEDAN,KHFL-22,KHFS-22,KHFS-19,KHRL-20,KHRS-20,KHRS-23,,,
86-93,COMMODORE VL-VP V8 SEDAN,KHFL-19,KHFS-19,KHFR-19,KHRL-20,KHRS-20,KHRS-23,,,
91-93,COMMODORE VP V6 SEDAN IRS,KHFL-22,KHFS-22,KHFS-19,KHRL-46,KHRS-46,KHRS-45,,,
91-93,COMMODORE VP V8 SEDAN IRS,KHFL-19,KHFS-19,KHFR-19,KHRL-46,KHRS-46,KHRS-45,,,
93-95,COMMODORE VR V6 SEDAN LA,KHFL-47,KHFS-19,KHFR-19,KHRL-20,KHRS-20,KHRS-23,,,
95-97,COMMODORE VS V6 SEDAN LA,KHFL-47SL,KHFS-22,KHFR-19,KHRL-20,KHRS-20,KHRS-23,,,
