Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit
TOYOTA,HIACE,KDH221R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,
TOYOTA,HIACE,KDH223R,1KD-FTV,4,3.0,D,CRD TURBO,,K-11491,
TOYOTA,HILUX,GGN120R,1GR-FE,6,4.0,P,MPFI,,K-11420,
TOYOTA,HILUX,GGN15,1GR-FE,6,4.0,P,,2005-ON,K-11210,
TOYOTA,HILUX,GGN25,1GR-FE,6,4.0,P,,2005-ON,K-11210,
TOYOTA,HILUX,GUN122R,2GDFTV,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,,D,CRD TURBO,,K-11440,FG-1009
TOYOTA,FG-1009,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,HILUX,KUN26,1KD-FTV,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,,K-11500,FG-1004
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,1999-2005,K-11060,
TOYOTA,HILUX,LN106,3L SOHC,4,2.8,D,,1988-1997,K-11020,
TOYOTA,HILUX,LN107 SR5,3L SOHC,4,2.8,D,,1992-1997,K-11020,
TOYOTA,HILUX,LN111,3L SOHC,4,2.8,D,,1988-1997,K-11020,
TOYOTA,HILUX,LN147,5L,4,3.0,D,,1997-2000,K-11250,
TOYOTA,HILUX,LN147,S2-3,4,3.0,D,,2000-2005,K-11060,
TOYOTA,HILUX,LN167,5L,4,3.0,D,,1997-2000,K-11250,
TOYOTA,HILUX,LN167,5L,4,3.0,D,,1999-2004,K-59030,
TOYOTA,HILUX,LN167,S2-3,4,3.0,D,,2000-2005,K-11060,
TOYOTA,HILUX,LN172,5L,4,3.0,D,,1998-2000,K-11250,
TOYOTA,HILUX,,,4,3.0,D,,2000-2005,K-11060,
TOYOTA,HILUX,LN40 LWB,L,4,2.2,D,,1980-1983,K-11020,
TOYOTA,HILUX,LN56 LWB,2L,4,2.4,D,,1984-1988,K-11020,
TOYOTA,HILUX,LN65 LWB,2L,4,2.4,D,,1983-1988,K-11020,
TOYOTA,HILUX,LN65-SR5,2L,4,2.4,D,,1986-1988,K-11020,
TOYOTA,HILUX,LN85,2L,4,2.4,D,,1988-1991,K-11020,
TOYOTA,HILUX,LN86,3L,4,2.8,D,,1991-1997,K-11020,
TOYOTA,HILUX,TGN121R,2TR-FE,4,2.7,P,MPFI,,K-11430,
TOYOTA,HILUX,TGN16,2TR-FE,4,2.7,P,MPFI,,K-11460,
TOYOTA,HILUX,VZN167,5VZ-FE,6,3.4,P,MPFI,2002-2005,K-11180,
TOYOTA,HILUX SURF,KZN130,1KZTE,4,3.0,D,TURBO DIESEL,1993-1997,K-11240,
TOYOTA,HILUX SURF,KZN185,1KZTE,4,3.0,D,TURBO DIESEL,,K-11040,
TOYOTA,LANDCRUISER,FZJ105R,1FZ-FE,6,4.5,P,MPFI,03/1998-2002,K-11220,
TOYOTA,LANDCRUISER,FZJ75RP,1FZ-FE,6,4.5,P,MPFI,04/1996-1999,K-11190,
TOYOTA,LANDCRUISER,FZJ78R,1FZ-FE,6,4.5,P,MPFI,10/1999-2002,K-11200,
TOYOTA,LANDCRUISER,FZJ79R,1FZ-FE,6,4.5,P,MPFI,10/1999-2007,K-11200,
TOYOTA,LANDCRUISER,FZJ80R,1FZ-FE,6,4.5,P,MPFI,04/1996-1998,K-11190,
TOYOTA,LANDCRUISER,HDJ100R,1HD-FTE,6,4.2,D,TURBO INTERCOOL,,K-11260,
TOYOTA,LANDCRUISER,HDJ100R,1HD-FTE,6,4.2,D,TURBO INTERCOOL,2002-2007,K-11260,
TOYOTA,LANDCRUISER,HDJ78R,1HD-FTE,6,4.2,D,TURBO,11/2001-2007,K-11110,
TOYOTA,LANDCRUISER,HDJ79R,1HD-FTE,6,4.2,D,TURBO,11/2001-2007,K-11030,
TOYOTA,LANDCRUISER,HDJ80,1HDT,6,4.2,D,TURBO DIESEL,1990-1995,K-11450,
TOYOTA,LANDCRUISER,HZJ70,1HZ,6,4.2,D,MPFI,,K-11030,
TOYOTA,LANDCRUISER,HZJ73,1HZ,6,4.2,D,MPFI,,K-11030,
TOYOTA,LANDCRUISER,HZJ75RP,1HZ,6,4.2,D,MPFI,1990-1999,K-11030,
TOYOTA,LANDCRUISER,HZJ75RV,1HZ,6,4.2,D,MPFI,1991-1999,K-11030,
TOYOTA,HZJ79R,1HZ,TOYOTA,6,,,MPFI,,K-11030,
TOYOTA,DIRECT INJECTION,,,,,D,,2001,K-11030,
TOYOTA,,,,,4.2,D,MPFI,1999-2007,K-11030,
TOYOTA,,,,8,4.7,P,MPFI,06/1998-2005,K-11230,
TOYOTA,2UZ-FE,10/2002-10/2007,,8,4.7,P,MPFI,,K-11230,
TOYOTA,VDJ76/78/79,1HZ,,6,4.2,D,DIESEL,1999-ON,K-11480,
TOYOTA,LANDCRUISER,VDJ76R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER,VDJ76R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER,VDJ78R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER,VDJ78R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER,VDJ79R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER,VDJ79R,1VD-FTV,8,4.5,D,TURBO INTERCOOL,,K-11520,
TOYOTA,FILTER,03/2007-ON,,,,,,,K-11071,
TOYOTA,,,,,,,,,K-11520,
TOYOTA,LANDCRUISER PRADO,GRJ120R,1GR-FE,6,4.0,P,MPFI,,K-11160,
TOYOTA,LANDCRUISER PRADO,KDJ120R,1KD-FTV,4,3.0,D,TURBO INTERCOOL,,K-11270,
TOYOTA,LANDCRUISER PRADO,KDJ150R,1KD-FTV,4,3.0,D,TURBO INTERCOOL,,K-11081,
TOYOTA,LANDCRUISER PRADO,KDJ155R,1KD-FTV,4,3.0,D,TURBO INTERCOOL,,K-11081,
TOYOTA,LANDCRUISER PRADO,KDJ150R,1KD-FTV,4,3.0,D,TURBO INTERCOOL,,K-11082,
TOYOTA,LANDCRUISER PRADO,KDJ155R,1KD-FTV,4,3.0,D,TURBO INTERCOOL,,K-11082,
TOYOTA,LANDCRUISER PRADO,KZJ120R,1KZ-TE,4,3.0,D,TURBO INTERCOOL,,K-11091,
TOYOTA,LANDCRUISER PRADO,KZJ95R,1KZ-TE,4,3.0,D,TURBO INTERCOOL,,K-11040,
TOYOTA,LANDCRUISER SAHARA VDJ200R,1VD-FTV,,8,4.5,D,TURBO INTERCOOL,11/2007-2013,K-11072,
TOYOTA,LANDCRUISER SAHARA VDJ200R,1VD-FTV,,8,4.5,D,TURBO INTERCOOL,2014-ON,K-11072,
TOYOTA,,,,,,,,1998-2007,K-11510,
TOYOTA,05/2011-01/2013,,,,,,,,K-31010,
VOLKSWAGEN,340TDI,CDBA,VOLKSWAGEN,4,2.0,D,CRD,,K-31010,
VOLKSWAGEN,AMAROK,400TDI,CDCA,4,2.0,D,CRD,,K-31010,
VOLKSWAGEN,AMAROK,400TDI,CNEA,4,2.0,D,CRD TWIN TURBO,,K-31010,
VOLKSWAGEN,AMAROK,420TDI,CSHA,4,2.0,D,DI,,K-31010,
VOLKSWAGEN,AMAROK,TDI,CDCA,4,2.0,D,CRD,,K-31010,
