part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,KIA,MENTOR,1999,2001,1.8 Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,FB,TE,82,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,KIA,MENTOR,1997,2001,1.5 i 16V (AFB222) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,FB,BFD,65,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,KIA,MENTOR,1997,2001,1.5 i 16V (AFB222) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,FB,BFD,65,No
NS60SX MF,Ultra Hi Performance (Car & Passenger Vehicle),12,50,236,127,200,D Polarity STD Terminal,470,80,40,Car & Passenger Vehicles,Ultra Hi Performance,KIA,MENTOR,1996,1997,1.5 i Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,FA,B5,59,No
NS60S MF,Hi Performance (Car & Passenger Vehicle),12,45,236,127,200,D Polarity STD Terminal,430,76,30,Car & Passenger Vehicles,Hi Performance,KIA,MENTOR,1996,1997,1.5 i Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,FA,B5,59,No
N70ZZLHX MF,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,302,172,200,C Polarity STD Terminal,780,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,K2700,2002,2008,2.7 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,59,No
N70ZZLHX,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,305,171,202,C Polarity STD Terminal,730,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,K2700,2002,2008,2.7 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,59,No
N70ZZLH MF,"Hi Performance (Truck, Bus & Heavy Equipment)",12,90,305,171,202,C Polarity STD Terminal,780,160,12,"Truck, Bus & Heavy Equipment",Hi Performance,KIA,K2700,2002,2008,2.7 D Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,59,No
N70ZZLHX MF,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,302,172,200,C Polarity STD Terminal,780,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,K2700,2002,2004,2.7 Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,62,No
N70ZZLHX,"Ultra Hi Performance (Truck, Bus & Heavy Equipment)",12,95,305,171,202,C Polarity STD Terminal,730,180,18,"Truck, Bus & Heavy Equipment",Ultra Hi Performance,KIA,K2700,2002,2004,2.7 Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,62,No
N70ZZLH MF,"Hi Performance (Truck, Bus & Heavy Equipment)",12,90,305,171,202,C Polarity STD Terminal,780,160,12,"Truck, Bus & Heavy Equipment",Hi Performance,KIA,K2700,2002,2004,2.7 Diesel Rear-Wheel Drive Platform/Chassis,Diesel,Rear-Wheel Drive,Platform/Chassis,SD,J2,62,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,KIA,MENTOR / SHUMA,1997,2001,1.5 i 16V (AFB242) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,FB,BFD,65,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,KIA,MENTOR / SHUMA,1997,2001,1.5 i 16V (AFB242) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,FB,BFD,65,No
