part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2013,2019,"2.0 (BMEFP, BM527, BN527) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,"BN_,BM_","PEY5,PE-VPS,PEY7",114,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2013,2019,"2.0 (BMEFP, BM527, BN527) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,"BN_,BM_","PEY5,PE-VPS,PEY7",114,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2013,2019,"2.0 (BMEFS, BM547, BN547) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"BN,BM","PEY5,PE-VPS,PEY7",114,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2013,2019,"2.0 (BMEFS, BM547, BN547) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"BN,BM","PEY5,PE-VPS,PEY7",114,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2013,2019,"2.5 SP25 (BM523, BN523) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,"BN_,BM_","PYY1,PY-VPS",138,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2013,2019,"2.5 SP25 (BM523, BN523) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,"BN_,BM_","PYY1,PY-VPS",138,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2013,2019,"2.5 SP25 (BM543, BN543) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"BN,BM","PYY1,PY-VPS",138,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2013,2019,"2.5 SP25 (BM543, BN543) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,"BN,BM","PYY1,PY-VPS",138,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2011,2013,2.0 SP20 (BLFFP) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BL,"PE-VPS,PEY2",113,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2011,2013,2.0 SP20 (BLFFP) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,BL,"PE-VPS,PEY2",113,No
Q85,ISS Active EFB (Car & Passenger Vehicle),12,67,230,171,202,C Polarity STD Terminal,650,112,36,Car & Passenger Vehicles,ISS Active EFB Stop-Start,MAZDA,3,2011,2013,"2.0 SP20 (BLFFW, BL107, BLFFP) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BL,"PE-VPS,PEY7",113,No
Q85 MF,ISS Active EFB MF (Car & Passenger Vehicle),12,65,230,171,202,C Polarity STD Terminal,550,110,24,Car & Passenger Vehicles,ISS Active EFB MF Stop-Start,MAZDA,3,2011,2013,"2.0 SP20 (BLFFW, BL107, BLFFP) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BL,"PE-VPS,PEY7",113,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,3,2009,2013,"2.0 MZR (BLEFP, BL10F) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,BL,"LF5H,LF-VE,LF5W",108,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,3,2009,2013,"2.0 MZR (BLEFP, BL10F) Petrol Front-Wheel Drive Sedan",Petrol,Front-Wheel Drive,Sedan,BL,"LF5H,LF-VE,LF5W",108,No
75D23L MF,Ultra Hi Performance (Car & Passenger Vehicle),12,70,231,171,202,C Polarity STD Terminal,620,120,40,Car & Passenger Vehicles,Ultra Hi Performance,MAZDA,3,2009,2013,"2.0 MZR (BLEFW, BL10F) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BL,"LF5H,LF-VE,LF5W",108,No
55D23L MF,Hi Performance (Car & Passenger Vehicle),12,60,232,173,202,C Polarity STD Terminal,540,105,30,Car & Passenger Vehicles,Hi Performance,MAZDA,3,2009,2013,"2.0 MZR (BLEFW, BL10F) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,BL,"LF5H,LF-VE,LF5W",108,No
NS70LX MF,"Ultra Hi Performance (SUV, 4x4 & Light Commercial)",12,82,259,171,202,C Polarity STD Terminal,720,150,30,"SUV, 4x4 & Light Commercial",Ultra Hi Performance,MAZDA,3,2009,2013,2.2 MZR CD (BL10) Diesel Front-Wheel Drive Hatchback,Diesel,Front-Wheel Drive,Hatchback,BL,R2AA,110,No
NS70L MF,"Hi Performance (SUV, 4x4 & Light Commercial)",12,75,259,171,202,C Polarity STD Terminal,650,140,20,"SUV, 4x4 & Light Commercial",Hi Performance,MAZDA,3,2009,2013,2.2 MZR CD (BL10) Diesel Front-Wheel Drive Hatchback,Diesel,Front-Wheel Drive,Hatchback,BL,R2AA,110,No
