part_number,name,voltage,capacity_ah,length_mm,width_mm,height_mm,terminal_layout,cca,rc,warranty_months,category,tier,make,model,year_from,year_to,series,engine_type,drive_type,body_type,chassis,engine_code,power_kw,is_auxiliary
DIN75LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,80,316,175,190,C Polarity STD Terminal,800,155,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2010,2016,3.6 V6 4x4 Petrol All-wheel Drive SUV,Petrol,All-wheel Drive,SUV,"WK,WK2",ERB,210,No
DIN85LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,92,353,175,190,C Polarity STD Terminal,850,160,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2011,2013,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",177,No
DIN65LH AGM,ISS Active AGM (Car & Passenger Vehicle),12,70,276,175,190,C Polarity STD Terminal,720,120,36,Car & Passenger Vehicles,ISS Active AGM Stop-Start,JEEP,GRAND CHEROKEE,2011,2013,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",177,No
YTX14H-BS,Hi Performance AGM,12,12,150,87,145,D Polarity A Terminal,200,,18,Powersports,Hi Performance AGM,JEEP,GRAND CHEROKEE,2011,2013,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",177,Yes
YTX14-BS,Maintenance Free AGM,12,12,150,87,145,D Polarity A Terminal,180,,18,Powersports,Maintenance Free AGM,JEEP,GRAND CHEROKEE,2011,2013,3.0 CRD V6 4x4 Diesel All-wheel Drive SUV,Diesel,All-wheel Drive,SUV,"WK,WK2","EXF,EXN",177,Yes
DIN75LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,910,180,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,JEEP,GRAND CHEROKEE,2009,2010,5.7 V8 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH","EZH,EZD",259,No
DIN75LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,750,160,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,GRAND CHEROKEE,2009,2010,5.7 V8 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH","EZH,EZD",259,No
DIN75LHHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,80,313,175,190,C Polarity STD Terminal,730,145,30,"SUV, 4x4 & Light Commercial",Overlander 4x4,JEEP,GRAND CHEROKEE,2008,2010,3.7 V6 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH",EKG,148,No
DIN75LHX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,910,180,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,JEEP,GRAND CHEROKEE,2008,2010,3.7 V6 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH",EKG,148,No
DIN75LH MF,Hi Performance DIN (Car & Passenger Vehicle),12,90,315,175,190,C Polarity STD Terminal,750,160,30,Car & Passenger Vehicles,Hi Performance DIN,JEEP,GRAND CHEROKEE,2008,2010,3.7 V6 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH",EKG,148,No
DIN75LHHDMF,"Overlander (SUV, 4x4 & Light Commercial)",12,80,313,175,190,C Polarity STD Terminal,730,145,30,"SUV, 4x4 & Light Commercial",Overlander 4x4,JEEP,GRAND CHEROKEE,2007,2010,4.7 V8 4x4 Petrol All-wheel Drive ,Petrol,All-wheel Drive,,"WK,WH","EVE,EVA",223,No
