Manufacturer,Model,Series,Engine,Cylinders,Capacity,Fuel_Type,Fuel_Air_Intake,Year,4WD_Filter_Kit,Filter_Guard_Kit,_skip_reason
TOYOTA,FG-1004,TOYOTA,HILUX,4,3.0,D,TURBO DIESEL,1999-2005,K-11060,,Model looks like engine code
TOYOTA,HILUX,LN106,3L SOHC,4,2.8,D,,1988-1997,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN107 SR5,3L SOHC,4,2.8,D,,1992-1997,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN111,3L SOHC,4,2.8,D,,1988-1997,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN147,5L,4,3.0,D,,1997-2000,K-11250,,Model looks like engine code
TOYOTA,HILUX,LN147,S2-3,4,3.0,D,,2000-2005,K-11060,,Model looks like engine code
TOYOTA,HILUX,LN167,5L,4,3.0,D,,1997-2000,K-11250,,Model looks like engine code
TOYOTA,HILUX,LN167,5L,4,3.0,D,,1999-2004,K-59030,,Model looks like engine code
TOYOTA,HILUX,LN167,S2-3,4,3.0,D,,2000-2005,K-11060,,Model looks like engine code
TOYOTA,HILUX,LN172,5L,4,3.0,D,,1998-2000,K-11250,,Model looks like engine code
TOYOTA,HILUX,,,4,3.0,D,,2000-2005,K-11060,,Model looks like engine code
TOYOTA,HILUX,LN40 LWB,L,4,2.2,D,,1980-1983,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN56 LWB,2L,4,2.4,D,,1984-1988,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN65 LWB,2L,4,2.4,D,,1983-1988,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN65-SR5,2L,4,2.4,D,,1986-1988,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN85,2L,4,2.4,D,,1988-1991,K-11020,,Model looks like engine code
TOYOTA,HILUX,LN86,3L,4,2.8,D,,1991-1997,K-11020,,Model looks like engine code
TOYOTA,HILUX,TGN121R,2TR-FE,4,2.7,P,MPFI,,K-11430,,No valid year range
TOYOTA,HILUX,TGN16,2TR-FE,4,2.7,P,MPFI,,K-11460,,No valid year range
TOYOTA,HILUX,VZN167,5VZ-FE,6,3.4,P,MPFI,2002-2005,K-11180,,Model looks like engine code
TOYOTA,HILUX SURF,KZN185,1KZTE,4,3.0,D,TURBO DIESEL,,K-11040,,No valid year range
TOYOTA,LANDCRUISER,HDJ100R,1HD-FTE,6,4.2,D,TURBO INTERCOOL,,K-11260,,No valid year range
TOYOTA,LANDCRUISER,HZJ70,1HZ,6,4.2,D,MPFI,,K-11030,,No valid year range
TOYOTA,LANDCRUISER,HZJ73,1HZ,6,4.2,D,MPFI,,K-11030,,No valid year range
TOYOTA,HZJ79R,1HZ,TOYOTA,6,,,MPFI,,K-11030,,No valid year range
TOYOTA,,,,,4.2,D,MPFI,1999-2007,K-11030,,No model
