reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2015,2021,"220 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B48 B20 A",135
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2015,2021,"M 240 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B58 B30 A",250
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2015,2021,"M 240 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B58 B30 A",250
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2015,2021,"M 240 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B58 B30 A",250
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2015,2021,"M 240 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B58 B30 A",250
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2014,2021,"220 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N20 B20 B,N20 B20 A",135
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2021,"220 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N20 B20 B,N20 B20 A",135
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2016,2020,"230 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B46 B20 B,B48 B20 B",185
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2016,2020,"230 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"B46 B20 B,B48 B20 B",185
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2016,2020,"230 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B46 B20 B,B48 B20 B",185
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2016,2020,"230 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"B46 B20 B,B48 B20 B",185
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2020,"220 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B48 A20 A,B48 A20 F",141
"No matching vehicle found in DB",DIN65LH AGM,BMW,"2",2014,2020,"220 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B48 A20 A,B48 A20 F",141
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2018,"218 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B38 A15 A",100
"No matching vehicle found in DB",DIN65LH AGM,BMW,"2",2014,2018,"218 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B38 A15 A",100
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2014,2016,"228 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N20 B20 A",180
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2016,"228 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N20 B20 A",180
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2014,2016,"228 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N26 B20 A,N20 B20 A",180
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2016,"228 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N26 B20 A,N20 B20 A",180
"No matching vehicle found in DB",DIN85LH AGM,BMW,"2",2014,2016,"M 235 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N55 B30 A",240
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2014,2016,"M 235 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N55 B30 A",240
"No matching vehicle found in DB",DIN75LH AGM,BMW,"2",2013,2016,"225 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B48 A20 B",170
"No matching vehicle found in DB",DIN65LH AGM,BMW,"2",2013,2016,"225 i Petrol Front-Wheel Drive MPV",Petrol,MPV,"B48 A20 B",170
