brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
HSV,CLUBSPORT Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VX),09/00,09/02,5.7 i V8,09/00,09/02,255,347,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,10/02,08/03,260,354,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VY),10/02,09/04,5.7 i V8,09/03,09/04,285,388,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VZ),10/04,12/06,6.0 i V8,10/04,12/06,297,404,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,CLUBSPORT Saloon (VZ),10/04,12/06,6.0 i V8,10/04,12/06,297,404,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,CLUBSPORT Saloon (VZ),10/04,12/06,6.0 i V8,10/04,12/06,297,404,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,CLUBSPORT Saloon (VZ),10/04,12/06,6.0 i V8,10/04,12/06,297,404,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,COUPE 4 (VZ),07/04,04/06,5.7 i V8,07/04,04/06,270,367,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
HSV,COUPE 4 (VZ),07/04,04/06,5.7 i V8,07/04,04/06,270,367,Brake pads,Prime Ceramic,P99013N,,16mm,64mm,183mm,,,,,,,Akebono,Without,24816,,With anti-squeal shim,,
HSV,COUPE 4 (VZ),07/04,04/06,5.7 i V8,07/04,04/06,270,367,Brake pads,Prime Ceramic,P59056N,,16mm,58mm,114mm,,,,,,,Lucas,Without,"24818, 24819","D1048 7951, D1048 8223",With anti-squeal shim,,Yes
HSV,COUPE 4 (VZ),07/04,04/06,5.7 i V8,07/04,04/06,270,367,Brake pads,Prime Ceramic,P99015N,,18mm,58mm,114mm,,,,,,,Lucas,Without,21127,D1048 8223,With anti-squeal shim,,
HSV,GRANGE Saloon (WH),07/99,09/03,3.8 i V6 Supercharged,07/99,09/00,180,245,Brake pads,Prime Ceramic,P64002N,,15mm,64mm,183mm,,,,,,,Pontiac,Without,"24815, 24816",D1043 7946,With accessoriesWith anti-squeal shimWith brake caliper bolts,,
