brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M4 | D,2P1.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M4 | TY1,2P2.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M4 | TY3,2P3.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M4 | D,2P4.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,06/16,>,333,453,UPGRADE GT kit,GT | M4 | TY1,2P5.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,Brake pads,Prime,P 09 003,,14mm,74mm,120mm,,,,,,,Brembo,Acoustic,23143,"D1053 7858, D960 7858, D960 7954",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,Brake pads,Prime Ceramic,P09003N,,14mm,74mm,120mm,,,,,,,Brembo,Acoustic,23143,"D1053 7858, D960 7858, D960 7954",With anti-squeal shim,,,,
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | D,1L4.8018A_,355mm,32mm,,,,,,,,,,,,,,,6,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | TY1,1L5.8018A_,355mm,32mm,,,,,,,,,,,,,,,6,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | D,1N1.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | TY1,1N2.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | TY3,1N3.9057A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | D,1N1.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | TY1,1N2.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M6 | TY3,1N3.9538A_,405mm,34mm,,,,,,,,,,,,,,,6,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M4 | D,2P1.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M4 | TY1,2P2.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M4 | TY3,2P3.9055A_,380mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M4 | D,2P4.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
CHEVROLET,CAMARO,09/15,>,6.2,01/17,>,485,659,UPGRADE GT kit,GT | M4 | TY1,2P5.8503A_,365mm,28mm,,,,,,,,,,,,,,,4,1 piece,Monoblock
