brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional
GENESIS,GV70 (JK1),12/20,>,2.2 AWD,04/21,>,154,209,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,2.2 AWD,04/21,>,154,209,Brake pads,Prime,P 30 152,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.2 AWD,04/21,>,154,209,Brake pads,Prime Ceramic,P30152N,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.2 AWD,04/21,>,154,209,Brake pads,Prime Ceramic,P30153N,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.5,04/21,>,224,304,Brake discs,Prime,09.F214.11,345mm,30mm,"56,6mm",,5,Ventilated,69mm,28mm,,1,,,,,,,
GENESIS,GV70 (JK1),12/20,>,2.5,04/21,>,224,304,Brake pads,Prime,P 30 143,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,2.5,04/21,>,224,304,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,2.5,04/21,>,224,304,Brake pads,Prime,P 30 152,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.5,04/21,>,224,304,Brake pads,Prime Ceramic,P30152N,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake discs,Prime,09.F214.11,345mm,30mm,"56,6mm",,5,Ventilated,69mm,28mm,,1,,,,,,,
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake pads,Prime,P 30 143,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake pads,Prime,P 30 152,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake pads,Prime Ceramic,P30152N,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,2.5 AWD,04/21,>,224,304,Brake pads,Prime Ceramic,P30153N,,16mm,51mm,123mm,,,,,,,,Acoustic,"26543, 26544, 26545",,With accessoriesWith anti-squeal shim,,
GENESIS,GV70 (JK1),12/20,>,EV AWD,11/22,>,360,489,Brake pads,Prime,P 30 143,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV70 (JK1),12/20,>,EV AWD,11/22,>,360,489,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV80 SUV (JX1),06/20,>,2.5 T-GDi AWD,06/20,>,224,304,Brake pads,Prime,P 30 143,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV80 SUV (JX1),06/20,>,2.5 T-GDi AWD,06/20,>,224,304,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV80 SUV (JX1),06/20,>,3.0 CRDi AWD,06/20,>,204,277,Brake pads,Prime,P 30 143,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
GENESIS,GV80 SUV (JX1),06/20,>,3.0 CRDi AWD,06/20,>,204,277,Brake pads,Prime Ceramic,P30143N,,18mm,86mm,170mm,,,,,,,,Acoustic,,,With anti-squeal shimWith piston clip,,Yes
